"playid"	"period"	"strength"	"time"	"event"	"description"	"player1visitor"	"player2visitor"	"player3visitor"	"player4visitor"	"player5visitor"	"player6visitor"	"player1posvisitor"	"player2posvisitor"	"player3posvisitor"	"player4posvisitor"	"player5posvisitor"	"player6posvisitor"	"player1home"	"player2home"	"player3home"	"player4home"	"player5home"	"player6home"	"player1poshome"	"player2poshome"	"player3poshome"	"player4poshome"	"player5poshome"	"player6poshome"
"68"	68	1	"EV"	"10:439:17"	"GIVE"	"BOS GIVEAWAY - #63 MARCHAND, Def. Zone"	"81"	"11"	"74"	"79"	"31"	NA	"C"	"R"	"D"	"D"	"G"	NA	"37"	"63"	"27"	"43"	"40"	NA	"C"	"C"	"D"	"D"	"G"	NA
"69"	69	1	" "	"10:499:11"	"STOP"	"OFFSIDE,TV TIMEOUT"	"51"	"11"	"74"	"79"	"31"	NA	"C"	"R"	"D"	"D"	"G"	NA	"37"	"63"	"43"	"55"	"40"	NA	"C"	"C"	"D"	"D"	"G"	NA
"70"	70	1	"EV"	"10:499:11"	"FAC"	"MTL won Neu. Zone - MTL #14 PLEKANEC vs BOS #34 SODERBERG"	"14"	"21"	"26"	"76"	"31"	NA	"C"	"R"	"D"	"D"	"G"	NA	"34"	"21"	"47"	"86"	"40"	NA	"C"	"L"	"D"	"D"	"G"	NA
"71"	71	1	"EV"	"10:589:02"	"SHOT"	"MTL ONGOAL - #21 GIONTA, Tip-In, Off. Zone, 11 ft."	"14"	"21"	"26"	"76"	"31"	NA	"C"	"R"	"D"	"D"	"G"	NA	"34"	"21"	"47"	"86"	"40"	NA	"C"	"L"	"D"	"D"	"G"	NA
"72"	72	1	"EV"	"11:168:44"	"MISS"	"BOS #47 KRUG, Wrist, Over Net, Off. Zone, 62 ft."	"14"	"21"	"26"	"76"	"31"	NA	"C"	"R"	"D"	"D"	"G"	NA	"34"	"21"	"47"	"86"	"40"	NA	"C"	"L"	"D"	"D"	"G"	NA
"73"	73	1	"EV"	"11:328:28"	"HIT"	"MTL #76 SUBBAN HIT BOS #21 ERIKSSON, Def. Zone"	"14"	"21"	"67"	"26"	"76"	"31"	"C"	"R"	"L"	"D"	"D"	"G"	"34"	"21"	"33"	"47"	"86"	"40"	"C"	"L"	"D"	"D"	"D"	"G"
"74"	74	1	"EV"	"11:368:24"	"TAKE"	"MTL TAKEAWAY - #67 PACIORETTY, Def. Zone"	"14"	"21"	"67"	"26"	"76"	"31"	"C"	"R"	"L"	"D"	"D"	"G"	"34"	"21"	"33"	"47"	"86"	"40"	"C"	"L"	"D"	"D"	"D"	"G"
"75"	75	1	"EV"	"11:558:05"	"SHOT"	"BOS ONGOAL - #12 IGINLA, Wrist, Off. Zone, 47 ft."	"51"	"11"	"67"	"74"	"79"	"31"	"C"	"R"	"L"	"D"	"D"	"G"	"46"	"12"	"17"	"27"	"33"	"40"	"C"	"R"	"L"	"D"	"D"	"G"
"76"	76	1	" "	"11:558:05"	"STOP"	"GOALIE STOPPED"	"51"	"11"	"67"	"74"	"79"	"31"	"C"	"R"	"L"	"D"	"D"	"G"	"46"	"12"	"17"	"27"	"33"	"40"	"C"	"R"	"L"	"D"	"D"	"G"
"77"	77	1	"EV"	"11:558:05"	"GIVE"	"MTL GIVEAWAY - #79 MARKOV, Neu. Zone"	"51"	"11"	"67"	"74"	"79"	"31"	"C"	"R"	"L"	"D"	"D"	"G"	"46"	"12"	"17"	"27"	"33"	"40"	"C"	"R"	"L"	"D"	"D"	"G"
"78"	78	1	"EV"	"11:558:05"	"FAC"	"BOS won Off. Zone - MTL #81 ELLER vs BOS #17 LUCIC"	"81"	"17"	"22"	"74"	"79"	"31"	"C"	"R"	"R"	"D"	"D"	"G"	"46"	"12"	"17"	"27"	"33"	"40"	"C"	"R"	"L"	"D"	"D"	"G"
"79"	79	1	"EV"	"12:037:57"	"BLOCK"	"BOS #33 CHARA BLOCKED BY  MTL #22 WEISE, Snap, Def. Zone"	"81"	"17"	"22"	"74"	"79"	"31"	"C"	"R"	"R"	"D"	"D"	"G"	"46"	"12"	"17"	"27"	"33"	"40"	"C"	"R"	"L"	"D"	"D"	"G"
"80"	80	1	"EV"	"12:087:52"	"HIT"	"BOS #17 LUCIC HIT MTL #81 ELLER, Off. Zone"	"81"	"17"	"22"	"74"	"79"	"31"	"C"	"R"	"R"	"D"	"D"	"G"	"46"	"12"	"17"	"27"	"33"	"40"	"C"	"R"	"L"	"D"	"D"	"G"
